Sequence Name	Annotation GO Count	Annotation GO ID	Annotation GO Term	Annotation GO Category
XP_004495769.1	8	GO:0000166;GO:0005515;GO:0005634;GO:0006139;GO:0009058;GO:0016020;GO:0016301;GO:0036211	nucleotide binding;protein binding;nucleus;nucleobase-containing compound metabolic process;biosynthetic process;membrane;kinase activity;protein modification process	Molecular Function;Molecular Function;Cellular Component;Biological Process;Biological Process;Cellular Component;Molecular Function;Biological Process
XP_012569857.1				
XP_004495942.1	3	GO:0005739;GO:0006950;GO:0016020	mitochondrion;response to stress;membrane	Cellular Component;Biological Process;Cellular Component
XP_012569896.1	3	GO:0009987;GO:0016787;GO:0036211	cellular process;hydrolase activity;protein modification process	Biological Process;Molecular Function;Biological Process
XP_004495586.1	3	GO:0005575;GO:0006810;GO:0009987	cellular_component;transport;cellular process	Cellular Component;Biological Process;Biological Process
XP_004495770.1	6	GO:0003824;GO:0006629;GO:0009058;GO:0009416;GO:0009908;GO:0016049	catalytic activity;lipid metabolic process;biosynthetic process;response to light stimulus;flower development;cell growth	Molecular Function;Biological Process;Biological Process;Biological Process;Biological Process;Biological Process
XP_004495407.1	8	GO:0005488;GO:0005975;GO:0006091;GO:0006139;GO:0009056;GO:0009507;GO:0016020;GO:0016301	binding;carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing compound metabolic process;catabolic process;chloroplast;membrane;kinase activity	Molecular Function;Biological Process;Biological Process;Biological Process;Biological Process;Cellular Component;Cellular Component;Molecular Function
XP_004495679.1	4	GO:0000166;GO:0003774;GO:0005515;GO:0009987	nucleotide binding;cytoskeletal motor activity;protein binding;cellular process	Molecular Function;Molecular Function;Molecular Function;Biological Process
XP_004495943.1	1	GO:0016740	transferase activity	Molecular Function
XP_004495587.1	1	GO:0006950	response to stress	Biological Process
XP_004495771.1	4	GO:0005515;GO:0006259;GO:0006950;GO:0036211	protein binding;DNA metabolic process;response to stress;protein modification process	Molecular Function;Biological Process;Biological Process;Biological Process
XP_027189027.1	3	GO:0005654;GO:0016020;GO:0036211	nucleoplasm;membrane;protein modification process	Cellular Component;Cellular Component;Biological Process
XP_004495498.2	2	GO:0003677;GO:0003700	DNA binding;DNA-binding transcription factor activity	Molecular Function;Molecular Function
XP_027189813.1	3	GO:0009987;GO:0016787;GO:0036211	cellular process;hydrolase activity;protein modification process	Biological Process;Molecular Function;Biological Process
XP_004495860.1	1	GO:0003824	catalytic activity	Molecular Function
XP_004495944.1	5	GO:0000003;GO:0005515;GO:0005856;GO:0007049;GO:0016043	reproduction;protein binding;cytoskeleton;cell cycle;cellular component organization	Biological Process;Molecular Function;Cellular Component;Biological Process;Biological Process
XP_027189323.1	1	GO:0003677	DNA binding	Molecular Function
XP_004495588.1				
XP_027189655.1	4	GO:0000166;GO:0003774;GO:0005515;GO:0009987	nucleotide binding;cytoskeletal motor activity;protein binding;cellular process	Molecular Function;Molecular Function;Molecular Function;Biological Process
XP_027189130.1	6	GO:0000166;GO:0005215;GO:0005886;GO:0006810;GO:0009987;GO:0016787	nucleotide binding;transporter activity;plasma membrane;transport;cellular process;hydrolase activity	Molecular Function;Molecular Function;Cellular Component;Biological Process;Biological Process;Molecular Function
XP_004495945.1	4	GO:0000166;GO:0003677;GO:0006259;GO:0006950	nucleotide binding;DNA binding;DNA metabolic process;response to stress	Molecular Function;Molecular Function;Biological Process;Biological Process
XP_027189977.1	4	GO:0000166;GO:0005634;GO:0016020;GO:0016787	nucleotide binding;nucleus;membrane;hydrolase activity	Molecular Function;Cellular Component;Cellular Component;Molecular Function
XP_004495682.1	6	GO:0003677;GO:0005739;GO:0006259;GO:0009058;GO:0016020;GO:0065009	DNA binding;mitochondrion;DNA metabolic process;biosynthetic process;membrane;regulation of molecular function	Molecular Function;Cellular Component;Biological Process;Biological Process;Cellular Component;Biological Process
XP_004495773.1	4	GO:0000166;GO:0009987;GO:0016301;GO:0036211	nucleotide binding;cellular process;kinase activity;protein modification process	Molecular Function;Biological Process;Molecular Function;Biological Process
XP_004495949.1	4	GO:0005215;GO:0006810;GO:0009987;GO:0016020	transporter activity;transport;cellular process;membrane	Molecular Function;Biological Process;Biological Process;Cellular Component
XP_004495590.1	7	GO:0000166;GO:0008219;GO:0009507;GO:0009579;GO:0016020;GO:0016787;GO:0019538	nucleotide binding;cell death;chloroplast;thylakoid;membrane;hydrolase activity;protein metabolic process	Molecular Function;Biological Process;Cellular Component;Cellular Component;Cellular Component;Molecular Function;Biological Process
XP_027189604.1	2	GO:0005634;GO:0016020	nucleus;membrane	Cellular Component;Cellular Component
XP_004495774.1	1	GO:0016740	transferase activity	Molecular Function
XP_027189736.1	3	GO:0005773;GO:0006810;GO:0016020	vacuole;transport;membrane	Cellular Component;Biological Process;Cellular Component
XP_004495865.2				
XP_004495591.1	5	GO:0000166;GO:0005515;GO:0009987;GO:0016301;GO:0036211	nucleotide binding;protein binding;cellular process;kinase activity;protein modification process	Molecular Function;Molecular Function;Biological Process;Molecular Function;Biological Process
XP_004495685.1	3	GO:0005515;GO:0006139;GO:0009058	protein binding;nucleobase-containing compound metabolic process;biosynthetic process	Molecular Function;Biological Process;Biological Process
XP_004495502.1	9	GO:0005515;GO:0005773;GO:0005783;GO:0005886;GO:0006950;GO:0009056;GO:0009987;GO:0019538;GO:0042221	protein binding;vacuole;endoplasmic reticulum;plasma membrane;response to stress;catabolic process;cellular process;protein metabolic process;response to chemical	Molecular Function;Cellular Component;Cellular Component;Cellular Component;Biological Process;Biological Process;Biological Process;Biological Process;Biological Process
XP_004496032.1	3	GO:0003677;GO:0003700;GO:0005515	DNA binding;DNA-binding transcription factor activity;protein binding	Molecular Function;Molecular Function;Molecular Function
XP_004495777.1				
XP_004495592.1	1	GO:0016740	transferase activity	Molecular Function
XP_004495503.1	2	GO:0003824;GO:0005886	catalytic activity;plasma membrane	Molecular Function;Cellular Component
XP_012569883.1	1	GO:0003700	DNA-binding transcription factor activity	Molecular Function
XP_004495593.1	1	GO:0005829	cytosol	Cellular Component
XP_004495951.1	3	GO:0003723;GO:0005515;GO:0006139	RNA binding;protein binding;nucleobase-containing compound metabolic process	Molecular Function;Molecular Function;Biological Process
XP_004495505.1	5	GO:0000166;GO:0009987;GO:0016301;GO:0030234;GO:0036211	nucleotide binding;cellular process;kinase activity;enzyme regulator activity;protein modification process	Molecular Function;Biological Process;Molecular Function;Molecular Function;Biological Process
XP_004495687.1	3	GO:0005515;GO:0009507;GO:0016020	protein binding;chloroplast;membrane	Molecular Function;Cellular Component;Cellular Component
XP_012569928.1	2	GO:0006810;GO:0009987	transport;cellular process	Biological Process;Biological Process
XP_027189979.1				
XP_004495418.1	7	GO:0000166;GO:0005773;GO:0005794;GO:0005886;GO:0006810;GO:0009987;GO:0016787	nucleotide binding;vacuole;Golgi apparatus;plasma membrane;transport;cellular process;hydrolase activity	Molecular Function;Cellular Component;Cellular Component;Cellular Component;Biological Process;Biological Process;Molecular Function
XP_004495868.1	4	GO:0005515;GO:0016043;GO:0016787;GO:0030234	protein binding;cellular component organization;hydrolase activity;enzyme regulator activity	Molecular Function;Biological Process;Molecular Function;Molecular Function
XP_004495952.1	4	GO:0003723;GO:0005198;GO:0005840;GO:0006412	RNA binding;structural molecule activity;ribosome;translation	Molecular Function;Molecular Function;Cellular Component;Biological Process
XP_027189556.1	13	GO:0000003;GO:0000166;GO:0003774;GO:0005515;GO:0005737;GO:0005856;GO:0006810;GO:0016020;GO:0016043;GO:0016049;GO:0016787;GO:0030154;GO:0048856	reproduction;nucleotide binding;cytoskeletal motor activity;protein binding;cytoplasm;cytoskeleton;transport;membrane;cellular component organization;cell growth;hydrolase activity;cell differentiation;anatomical structure development	Biological Process;Molecular Function;Molecular Function;Molecular Function;Cellular Component;Cellular Component;Biological Process;Cellular Component;Biological Process;Biological Process;Molecular Function;Biological Process;Biological Process
XP_004495688.1	1	GO:0005515	protein binding	Molecular Function
XP_004495779.1	4	GO:0005737;GO:0009058;GO:0009987;GO:0016740	cytoplasm;biosynthetic process;cellular process;transferase activity	Cellular Component;Biological Process;Biological Process;Molecular Function
XP_012569911.2	3	GO:0003723;GO:0005737;GO:0008152	RNA binding;cytoplasm;metabolic process	Molecular Function;Cellular Component;Biological Process
XP_027189734.1	5	GO:0000003;GO:0005215;GO:0005886;GO:0009791;GO:0042221	reproduction;transporter activity;plasma membrane;post-embryonic development;response to chemical	Biological Process;Molecular Function;Cellular Component;Biological Process;Biological Process
XP_004495869.1	4	GO:0005515;GO:0016043;GO:0016787;GO:0030234	protein binding;cellular component organization;hydrolase activity;enzyme regulator activity	Molecular Function;Biological Process;Molecular Function;Molecular Function
XP_004495954.1	2	GO:0016020;GO:0016787	membrane;hydrolase activity	Cellular Component;Molecular Function
XP_004495419.1	2	GO:0008152;GO:0016740	metabolic process;transferase activity	Biological Process;Molecular Function
XP_004495689.1				
XP_027189165.1	4	GO:0005737;GO:0009058;GO:0009987;GO:0016740	cytoplasm;biosynthetic process;cellular process;transferase activity	Cellular Component;Biological Process;Biological Process;Molecular Function
XP_012569871.1	3	GO:0003723;GO:0005515;GO:0006139	RNA binding;protein binding;nucleobase-containing compound metabolic process	Molecular Function;Molecular Function;Biological Process
XP_004495507.1	1	GO:0005515	protein binding	Molecular Function
XP_004495871.1	4	GO:0000166;GO:0009987;GO:0016301;GO:0036211	nucleotide binding;cellular process;kinase activity;protein modification process	Molecular Function;Biological Process;Molecular Function;Biological Process
XP_004495420.1	1	GO:0007165	signal transduction	Biological Process
XP_004495690.1	4	GO:0005515;GO:0016043;GO:0016787;GO:0030234	protein binding;cellular component organization;hydrolase activity;enzyme regulator activity	Molecular Function;Biological Process;Molecular Function;Molecular Function
XP_012569932.2	6	GO:0003723;GO:0004518;GO:0005634;GO:0006139;GO:0009056;GO:0016020	RNA binding;nuclease activity;nucleus;nucleobase-containing compound metabolic process;catabolic process;membrane	Molecular Function;Molecular Function;Cellular Component;Biological Process;Biological Process;Cellular Component
